Time,dayofyear,month,dayofweek,hourofday,minuteofday,daytype,season,Energy
1/1/2018 0:00,1,1,1,0,0,0,1,0.22800282
1/1/2018 0:15,1,1,1,0,15,0,1,0.22800282
1/1/2018 0:30,1,1,1,0,30,0,1,0.22800282
1/1/2018 0:45,1,1,1,0,45,0,1,0.22800282
1/1/2018 1:00,1,1,1,1,0,0,1,0.22800282
1/1/2018 1:15,1,1,1,1,15,0,1,0.22800282
1/1/2018 1:30,1,1,1,1,30,0,1,0.22800282
1/1/2018 1:45,1,1,1,1,45,0,1,0.22800282
1/1/2018 2:00,1,1,1,2,0,0,1,0.22800282
1/1/2018 2:15,1,1,1,2,15,0,1,0.22800282
1/1/2018 2:30,1,1,1,2,30,0,1,0.22800282
1/1/2018 2:45,1,1,1,2,45,0,1,0.22800282
1/1/2018 3:00,1,1,1,3,0,0,1,0.22800282
1/1/2018 3:15,1,1,1,3,15,0,1,0.22800282
1/1/2018 3:30,1,1,1,3,30,0,1,0.22800282
1/1/2018 3:45,1,1,1,3,45,0,1,0.22800282
1/1/2018 4:00,1,1,1,4,0,0,1,0.22800282
1/1/2018 4:15,1,1,1,4,15,0,1,0.22800282
1/1/2018 4:30,1,1,1,4,30,0,1,0.22800282
1/1/2018 4:45,1,1,1,4,45,0,1,0.22800282
1/1/2018 5:00,1,1,1,5,0,0,1,0.22800282
1/1/2018 5:15,1,1,1,5,15,0,1,0.22800282
1/1/2018 5:30,1,1,1,5,30,0,1,0.22800282
1/1/2018 5:45,1,1,1,5,45,0,1,0.22800282
1/1/2018 6:00,1,1,1,6,0,0,1,0.22800282
1/1/2018 6:15,1,1,1,6,15,0,1,0.22800282
1/1/2018 6:30,1,1,1,6,30,0,1,0.22800282
1/1/2018 6:45,1,1,1,6,45,0,1,0.22800282
1/1/2018 7:00,1,1,1,7,0,0,1,0.22800282
1/1/2018 7:15,1,1,1,7,15,0,1,0.22800282
1/1/2018 7:30,1,1,1,7,30,0,1,0.22800282
1/1/2018 7:45,1,1,1,7,45,0,1,0.22800282
1/1/2018 8:00,1,1,1,8,0,0,1,0.22800282
1/1/2018 8:15,1,1,1,8,15,0,1,0.22800282
1/1/2018 8:30,1,1,1,8,30,0,1,0.22800282
1/1/2018 8:45,1,1,1,8,45,0,1,0.22800282
1/1/2018 9:00,1,1,1,9,0,0,1,0.22800282
1/1/2018 9:15,1,1,1,9,15,0,1,0.22800282
1/1/2018 9:30,1,1,1,9,30,0,1,0.22800282
1/1/2018 9:45,1,1,1,9,45,0,1,0.22800282
1/1/2018 10:00,1,1,1,10,0,0,1,0.22800282
1/1/2018 10:15,1,1,1,10,15,0,1,0.22800282
1/1/2018 10:30,1,1,1,10,30,0,1,0.22800282
1/1/2018 10:45,1,1,1,10,45,0,1,0.22800282
1/1/2018 11:00,1,1,1,11,0,0,1,0.22800282
1/1/2018 11:15,1,1,1,11,15,0,1,0.22800282
1/1/2018 11:30,1,1,1,11,30,0,1,0.22800282
1/1/2018 11:45,1,1,1,11,45,0,1,0.22800282
1/1/2018 12:00,1,1,1,12,0,0,1,0.22800282
1/1/2018 12:15,1,1,1,12,15,0,1,0.22800282
1/1/2018 12:30,1,1,1,12,30,0,1,0.22800282
1/1/2018 12:45,1,1,1,12,45,0,1,0.22800282
1/1/2018 13:00,1,1,1,13,0,0,1,0.22800282
1/1/2018 13:15,1,1,1,13,15,0,1,0.22800282
1/1/2018 13:30,1,1,1,13,30,0,1,0.22800282
1/1/2018 13:45,1,1,1,13,45,0,1,0.22800282
1/1/2018 14:00,1,1,1,14,0,0,1,0.22800282
1/1/2018 14:15,1,1,1,14,15,0,1,0.22800282
1/1/2018 14:30,1,1,1,14,30,0,1,0.22800282
1/1/2018 14:45,1,1,1,14,45,0,1,0.22800282
1/1/2018 15:00,1,1,1,15,0,0,1,0.22800282
1/1/2018 15:15,1,1,1,15,15,0,1,0.22800282
1/1/2018 15:30,1,1,1,15,30,0,1,0.22800282
1/1/2018 15:45,1,1,1,15,45,0,1,0.22800282
1/1/2018 16:00,1,1,1,16,0,0,1,0.22800282
1/1/2018 16:15,1,1,1,16,15,0,1,0.22800282
1/1/2018 16:30,1,1,1,16,30,0,1,0.22800282
1/1/2018 16:45,1,1,1,16,45,0,1,0.22800282
1/1/2018 17:00,1,1,1,17,0,0,1,0.22800282
1/1/2018 17:15,1,1,1,17,15,0,1,0.22800282
1/1/2018 17:30,1,1,1,17,30,0,1,0.22800282
